kyBP,Prec_5KYR_AVG_DIFF,Humidity_5kyr_AVG_DIFF,Humidity_5kyr_AVG_DIFF_1,Humidity_3kyr_AVG_DIFF,Prec_3KYR_AVG_DIFF
727,0.002590909,0.117,1.117,-0.023167299,0.002857143
727.5,0.0025,0.141,1.141,0.171465589,0.002928571
728,0.002318182,0.012,1.012,0.010782964,0.002857143
728.5,0.002090909,-0.059,0.941,0.074166789,0.002714286
729,0.001772727,0.008,1.008,0.085031578,0.0025
729.5,0.001454545,-0.065,0.935,0.07455961,0.002285714
730,0.001090909,-0.206,0.794,-0.037108333,0.001928571
730.5,0.000727273,-0.184,0.816,0.038143687,0.001571429
731,0.000318182,-0.295,0.705,-0.042037094,0.001071429
731.5,0,-0.203,0.797,-0.044137402,0.000714286
732,-0.000363636,-0.115,0.885,-0.389165015,0.000285714
732.5,-0.000681818,-0.117,0.883,-0.496148683,-7.14286E-05
733,-0.001,-0.137,0.863,-0.513732421,-0.0005
733.5,-0.001227273,-0.059,0.941,-0.328049455,-0.000785714
734,-0.001409091,-0.012,0.988,-0.012810106,-0.001142857
734.5,-0.0015,-0.044,0.956,-0.112470686,-0.001357143
735,-0.001590909,-0.016,0.984,-0.03839022,-0.001571429
735.5,-0.001636364,0.108,1.108,0.193960201,-0.001714286
736,-0.001636364,0.282,1.282,0.308278168,-0.001785714
736.5,-0.001590909,0.269,1.269,0.353101912,-0.001785714
737,-0.0015,0.238,1.238,0.249465086,-0.001785714
737.5,-0.001363636,0.076,1.076,-0.039121587,-0.001714286
738,-0.001136364,0.102,1.102,0.130927132,-0.001571429
738.5,-0.000909091,0.04,1.04,0.123523326,-0.001428571
739,-0.000681818,0.094,1.094,0.138587231,-0.001214286
739.5,-0.0005,0.104,1.104,0.126559545,-0.001071429
740,-0.000227273,-0.036,0.964,0.117005887,-0.000785714
740.5,4.55E-05,0.041,1.041,0.050115123,-0.0005
741,0.000318182,0.073,1.073,0.172319995,-0.000214286
741.5,0.000545455,-0.08,0.92,0.028664229,0
742,0.000727273,-0.094,0.906,-0.126128195,0.000357143
742.5,0.000863636,-0.037,0.963,-0.059839724,0.000642857
743,0.001045455,-0.07,0.93,-0.044814536,0.000928571
743.5,0.001136364,-0.017,0.983,-0.155197681,0.001071429
744,0.001136364,0.048,1.048,-0.087265062,0.001142857
744.5,0.001136364,-0.002,0.998,-0.067561368,0.001214286
745,0.001136364,0.015,1.015,-0.146484669,0.001357143
745.5,0.001045455,0.069,1.069,0.147633521,0.001357143
746,0.000909091,0.061,1.061,0.061571665,0.001214286
746.5,0.000772727,0.005,1.005,0.055377203,0.001071429
747,0.000545455,0.066,1.066,0.177009473,0.000928571
747.5,0.000363636,0.209,1.209,0.130351608,0.000857143
748,0.000136364,0.186,1.186,0.093671837,0.000714286
748.5,-0.000136364,0.175,1.175,0.072906329,0.0005
749,-0.000409091,0.056,1.056,-0.024785153,0.000142857
749.5,-0.000590909,0.058,1.058,0.16487593,-7.14286E-05
750,-0.000818182,0.005,1.005,0.2269914,-0.000357143
750.5,-0.001045455,-0.057,0.943,0.105045601,-0.000642857
751,-0.001227273,0.091,1.091,0.127311027,-0.000928571
751.5,-0.001363636,0.02,1.02,0.057366845,-0.001142857
752,-0.0015,0.06,1.06,0.056048186,-0.001428571
752.5,-0.001545455,0.051,1.051,-0.016900559,-0.001571429
753,-0.0015,-0.094,0.906,-0.055114593,-0.001642857
753.5,-0.001409091,-0.088,0.912,-0.167227467,-0.001642857
754,-0.001272727,-0.024,0.976,-0.107554548,-0.001642857
754.5,-0.001136364,-0.024,0.976,-0.033091891,-0.001642857
755,-0.000954545,-0.003,0.997,-0.074132985,-0.0015
755.5,-0.000727273,0.037,1.037,0.080866154,-0.001285714
756,-0.000409091,0.056,1.056,0.157038043,-0.001
756.5,-0.000136364,-0.049,0.951,-0.05302115,-0.000785714
757,0.000181818,-0.014,0.986,0.021645852,-0.0005
757.5,0.0005,0.03,1.03,0.019373861,-0.000214286
758,0.000863636,-0.061,0.939,-0.008342397,0.000214286
758.5,0.001136364,-0.001,0.999,0.015627275,0.0005
759,0.001409091,-0.011,0.989,-0.051500251,0.000857143
759.5,0.001636364,-0.013,0.987,-0.02274785,0.001142857
760,0.001863636,-0.01,0.99,-0.091567698,0.0015
760.5,0.002045455,-0.057,0.943,-0.070413231,0.001785714
761,0.002181818,0.002,1.002,0.006626324,0.002071429
761.5,0.002227273,-0.032,0.968,0.048095963,0.002214286
762,0.002227273,-0.007,0.993,0.007264388,0.002357143
762.5,0.002181818,-0.04,0.96,-0.046354874,0.002428571
763,0.002,-0.103,0.897,-0.024612042,0.002428571
763.5,0.001772727,-0.056,0.944,0.0385817,0.002357143
764,0.0015,-0.139,0.861,0.006059365,0.002214286
764.5,0.001227273,-0.109,0.891,-0.097222909,0.002071429
765,0.000863636,-0.032,0.968,-0.164473228,0.001714286
765.5,0.0005,0.036,1.036,-0.163782006,0.001357143
766,4.55E-05,0.018,1.018,-0.199510932,0.000928571
766.5,-0.000363636,-0.06,0.94,-0.168213262,0.000571429
767,-0.000818182,-0.005,0.995,0.047662012,7.14286E-05
767.5,-0.001227273,0.018,1.018,0.074255855,-0.000357143
768,-0.001681818,0.065,1.065,0.043860804,-0.000928571
768.5,-0.002,0.12,1.12,0.043717515,-0.001285714
769,-0.002272727,0.182,1.182,0.11923904,-0.001714286
769.5,-0.0025,0.117,1.117,0.254206556,-0.002071429
770,-0.002681818,0.095,1.095,0.176609402,-0.0025
770.5,-0.002772727,-0.06,0.94,0.073653665,-0.002785714
771,-0.002818182,-0.046,0.954,0.066434234,-0.003
771.5,-0.002772727,-0.017,0.983,-0.043651258,-0.003071429
772,-0.002636364,0.039,1.039,0.07504188,-0.003071429
772.5,-0.002454545,0.084,1.084,-0.038087815,-0.003
773,-0.002181818,0.032,1.032,-0.027579472,-0.002857143
773.5,-0.001863636,-0.01,0.99,-0.084278231,-0.002642857
774,-0.001454545,-0.073,0.927,-0.083140974,-0.002285714
774.5,-0.001090909,-0.089,0.911,-0.03614678,-0.002
775,-0.000636364,-0.068,0.932,0.121263751,-0.001571429
775.5,-0.000227273,-0.023,0.977,0.012322536,-0.001214286
776,0.000272727,0.024,1.024,0.05293527,-0.000714286
776.5,0.000727273,-0.032,0.968,-0.000737022,-0.000285714
777,0.001181818,-0.032,0.968,-0.125027564,0.000285714
777.5,0.001545455,-0.075,0.925,-0.022972273,0.000714286
778,0.001954545,-0.142,0.858,-0.132056876,0.001285714
778.5,0.002272727,-0.14,0.86,-0.128369954,0.001714286
779,0.002545455,-0.128,0.872,-0.119170673,0.002142857
779.5,0.002727273,-0.091,0.909,-0.085830152,0.002428571
780,0.002909091,-0.094,0.906,-0.11959946,0.002785714
780.5,0.003,0.009,1.009,0.009110689,0.003
781,0.002954545,-0.077,0.923,-0.152230449,0.003142857
781.5,0.002818182,-0.097,0.903,-0.127384771,0.003142857
782,0.002636364,-0.177,0.823,-0.098937849,0.003142857
782.5,0.002454545,-0.194,0.806,-0.061329321,0.003142857
783,0.002181818,-0.184,0.816,-0.026402304,0.002928571
783.5,0.001863636,-0.079,0.921,-0.060614292,0.002642857
784,0.001409091,0.137,1.137,-0.186693224,0.002285714
784.5,0.001,0.221,1.221,-0.222384214,0.002
785,0.000545455,0.275,1.275,-0.232279471,0.001571429
785.5,9.09E-05,0.288,1.288,-0.094932393,0.001142857
786,-0.000454545,0.295,1.295,0.210007262,0.0005
786.5,-0.000863636,0.325,1.325,0.31509559,7.14286E-05
787,-0.001272727,0.466,1.466,0.457107347,-0.000428571
787.5,-0.001636364,0.55,1.55,0.632271205,-0.000857143
788,-0.002,0.587,1.587,0.706810437,-0.001428571
788.5,-0.002272727,0.61,1.61,0.773531961,-0.001857143
789,-0.002545455,0.474,1.474,0.795461104,-0.002285714
789.5,-0.002681818,0.244,1.244,0.463107926,-0.0025
790,-0.002727273,0.157,1.157,0.353591615,-0.002714286
790.5,-0.002727273,0.19,1.19,0.29382627,-0.002857143
791,-0.002681818,0.077,1.077,0.196774537,-0.003
791.5,-0.002545455,-0.174,0.826,0.130373272,-0.003
792,-0.002318182,-0.236,0.764,0.051603356,-0.002857143
792.5,-0.002090909,-0.436,0.564,0.023387863,-0.002714286
793,-0.001772727,-0.429,0.571,-0.111210007,-0.0025
793.5,-0.001454545,-0.47,0.53,-0.489503539,-0.002285714
794,-0.001045455,-0.436,0.564,-0.555488597,-0.001928571
794.5,-0.000636364,-0.421,0.579,-0.635443688,-0.001571429
795,-0.000181818,-0.355,0.645,-0.594920156,-0.001071429
795.5,0.000181818,-0.424,0.576,-0.631708368,-0.000714286
796,0.000590909,-0.46,0.54,-0.689438504,-0.000214286
796.5,0.000954545,-0.343,0.657,-0.585659352,0.000214286
797,0.001363636,-0.034,0.966,-0.153124092,0.000714286
797.5,0.001681818,0.122,1.122,-0.243874224,0.001071429
798,0.001954545,0.253,1.253,-0.013710365,0.0015
798.5,0.002136364,0.206,1.206,0.024424134,0.001785714
799,0.002272727,0.313,1.313,0.195291979,0.002142857
799.5,0.002318182,0.195,1.195,0.319987632,0.002357143
800,0.002318182,0.196,1.196,0.423487462,0.0025
800.5,0.002272727,0.134,1.134,0.285322242,0.002571429
801,0.002136364,0.2,1.2,0.525928387,0.002571429
801.5,0.001954545,0.157,1.157,0.339264575,0.0025
802,0.001681818,0.189,1.189,0.261210709,0.002357143
802.5,0.001363636,0.113,1.113,0.111177764,0.002142857
803,0.001,0.006,1.006,-0.120820912,0.001785714
803.5,0.000681818,0.002,1.002,-0.164646727,0.0015
804,0.000272727,0.051,1.051,-0.001264905,0.001071429
804.5,-9.09E-05,-0.005,0.995,-0.119286941,0.000714286
805,-0.000454545,0.039,1.039,0.024330701,0.000285714
805.5,-0.000772727,0.089,1.089,0.118274594,-7.14286E-05
806,-0.001136364,0.128,1.128,0.154612772,-0.000571429
806.5,-0.001409091,0.155,1.155,0.203529198,-0.000928571
807,-0.001636364,0.15,1.15,0.153861078,-0.001285714
807.5,-0.001772727,0.096,1.096,0.103670027,-0.0015
808,-0.001909091,0.1,1.1,0.134726478,-0.001785714
808.5,-0.002,0.019,1.019,0.112841592,-0.002
809,-0.002,-0.059,0.941,0.068474541,-0.002142857
809.5,-0.001909091,-0.018,0.982,0.069274048,-0.002142857
810,-0.001727273,-0.049,0.951,0.046236128,-0.002142857
810.5,-0.001545455,0.002,1.002,-0.007545797,-0.002142857
811,-0.001318182,0.003,1.003,-0.113731809,-0.002
811.5,-0.001045455,-0.063,0.937,-0.074754641,-0.001785714
812,-0.000727273,-0.126,0.874,-0.117176618,-0.001428571
812.5,-0.000454545,-0.042,0.958,-0.078665271,-0.001142857
813,-9.09E-05,-0.043,0.957,-0.041646445,-0.000785714
813.5,0.000272727,0.015,1.015,-0.121663559,-0.000428571
814,0.000681818,0.027,1.027,-0.114573344,2.47818E-19
814.5,0.001,0.106,1.106,0.094665803,0.000285714
815,0.001318182,0.042,1.042,0.030534944,0.000714286
815.5,0.001545455,0.069,1.069,0.147492115,0.001
816,0.001727273,0.043,1.043,0.03142526,0.001357143
816.5,0.001863636,-0.022,0.978,0.047972233,0.001642857
817,0.002,0.043,1.043,0.090617064,0.001928571
817.5,0.002090909,0.156,1.156,0.189814374,0.002142857
818,0.002090909,0.112,1.112,0.05554472,0.002285714
818.5,0.002,-0.028,0.972,-0.009340427,0.002285714
819,0.001863636,-0.045,0.955,-0.077993751,0.002285714
819.5,0.001681818,-0.11,0.89,0.086977792,0.002214286
820,0.001363636,-0.046,0.954,0.103864482,0.002
820.5,0.001045455,-0.052,0.948,-0.080007955,0.001785714
821,0.000681818,-0.085,0.915,-0.032523884,0.0015
821.5,0.000363636,-0.085,0.915,-0.209419689,0.001285714
822,0,-0.01,0.99,0.01124537,0.000857143
822.5,-0.000363636,-0.059,0.941,-0.058617976,0.000428571
823,-0.000818182,-0.197,0.803,-0.187506187,-7.14286E-05
823.5,-0.001181818,-0.211,0.789,-0.253644653,-0.000428571
824,-0.001545455,-0.052,0.948,0.018541024,-0.000857143
824.5,-0.001863636,-0.078,0.922,-0.099657341,-0.001214286
825,-0.002181818,-0.028,0.972,-0.050030442,-0.001714286
825.5,-0.002363636,-0.157,0.843,-0.156158252,-0.002
826,-0.0025,-0.141,0.859,-0.080369642,-0.002285714
826.5,-0.002590909,-0.128,0.872,-0.022740926,-0.0025
827,-0.002636364,-0.128,0.872,-0.120583221,-0.002714286
827.5,-0.002636364,-0.164,0.836,-0.219600544,-0.002857143
828,-0.002545455,-0.089,0.911,-0.187859661,-0.002928571
828.5,-0.002363636,-0.086,0.914,-0.078364536,-0.002857143
829,-0.002090909,-0.089,0.911,-0.122201049,-0.002714286
829.5,-0.001818182,0.025,1.025,-0.156839635,-0.002571429
830,-0.001409091,-0.084,0.916,-0.11574572,-0.002285714
830.5,-0.001,-0.006,0.994,-0.141085706,-0.002
831,-0.0005,0.054,1.054,-0.048363253,-0.001571429
831.5,-4.55E-05,0.067,1.067,0.180448206,-0.001214286
832,0.000454545,0.064,1.064,0.044876729,-0.000642857
832.5,0.000909091,0.12,1.12,0.07022943,-0.000142857
833,0.001454545,0.118,1.118,0.123078455,0.0005
833.5,0.001909091,0.073,1.073,0.057453791,0.001
834,0.002363636,0.136,1.136,0.156665605,0.001571429
834.5,0.002727273,0.081,1.081,0.2052194,0.002
835,0.003045455,-0.083,0.917,-0.010239566,0.002571429
835.5,0.003227273,-0.017,0.983,0.131884722,0.002928571
836,0.003409091,-0.061,0.939,0.082494637,0.003285714
836.5,0.0035,-0.113,0.887,-0.007439647,0.0035
837,0.003454545,-0.135,0.865,-0.056322962,0.003642857
837.5,0.003363636,-0.148,0.852,-0.08223028,0.003714286
838,0.003227273,-0.233,0.767,-0.213053526,0.003785714
838.5,0.003,-0.241,0.759,-0.240477288,0.003714286
839,0.002590909,-0.235,0.765,-0.269577544,0.003428571
839.5,0.002181818,-0.21,0.79,-0.289739523,0.003142857
840,0.001681818,-0.167,0.833,-0.28785281,0.002785714
840.5,0.001227273,-0.132,0.868,-0.258145686,0.0025
841,0.000636364,-0.117,0.883,-0.210251996,0.001928571
841.5,4.55E-05,-0.117,0.883,-0.151519208,0.001357143
842,-0.000590909,-0.118,0.882,-0.092309955,0.000642857
842.5,-0.001090909,-0.114,0.886,-0.052101507,0.000142857
843,-0.001727273,-0.098,0.902,-0.033909213,-0.000571429
843.5,-0.002318182,-0.068,0.932,-0.030286406,-0.001214286
844,-0.002863636,-0.041,0.959,-0.046997492,-0.001928571
844.5,-0.003227273,-0.027,0.973,-0.078792406,-0.002357143
845,-0.003636364,-0.036,0.964,-0.113630508,-0.003
845.5,-0.003954545,-0.063,0.937,-0.132415906,-0.0035
846,-0.004181818,-0.09,0.91,-0.114396898,-0.003928571
846.5,-0.004272727,-0.105,0.895,-0.068403771,-0.004142857
847,-0.004272727,-0.102,0.898,-0.02490303,-0.004428571
847.5,-0.004227273,-0.088,0.912,-0.00564493,-0.004642857
848,-0.004045455,-0.065,0.935,-0.015109456,-0.004714286
848.5,-0.003727273,-0.038,0.962,-0.045328015,-0.004571429
849,-0.003272727,-0.014,0.986,-0.083700563,-0.004285714
849.5,-0.002863636,0.045,1.045,-0.121090407,-0.004071429
850,-0.002318182,0.045,1.045,-0.139252895,-0.003642857
850.5,-0.001727273,0.125,1.125,-0.11544533,-0.003142857
851,-0.001045455,0.111,1.111,-0.056268411,-0.002428571
851.5,-0.000454545,0.187,1.187,0.098092212,-0.001857143
852,0.000318182,0.149,1.149,0.16696771,-0.001071429
852.5,0.001,0.172,1.172,0.333163878,-0.000428571
853,0.001727273,0.246,1.246,0.307112913,0.000357143
853.5,0.002318182,0.113,1.113,0.381814917,0.000928571
854,0.002954545,0.216,1.216,0.247489607,0.001785714
854.5,0.003454545,0.179,1.179,0.209079996,0.002428571
855,0.003909091,0.046,1.046,0.194445427,0.003142857
855.5,0.004227273,0.101,1.101,-0.031988987,0.003642857
856,0.004545455,-0.113,0.887,0.027352343,0.004214286
856.5,0.004772727,-0.134,0.866,0.050997758,0.004642857
857,0.004863636,-0.114,0.886,-0.123743962,0.005
857.5,0.004772727,-0.128,0.872,0.092105375,0.005071429
858,0.004590909,-0.125,0.875,-0.11415087,0.005142857
858.5,0.004363636,-0.171,0.829,-0.289470772,0.005142857
859,0.004,-0.027,0.973,0.024432879,0.004928571
859.5,0.003590909,-0.133,0.867,-0.293912067,0.004642857
860,0.003,0.088,1.088,-0.268796564,0.004214286
860.5,0.002454545,0.221,1.221,-0.147102026,0.003857143
861,0.001772727,0.042,1.042,-0.232739998,0.003285714
861.5,0.001090909,0.396,1.396,-0.005040538,0.002714286
862,0.000318182,0.409,1.409,0.39889412,0.001857143
862.5,-0.000318182,0.371,1.371,0.40248963,0.001214286
863,-0.001090909,0.426,1.426,0.359651522,0.000357143
863.5,-0.001772727,0.401,1.401,0.703706709,-0.000357143
864,-0.0025,0.371,1.371,0.622733243,-0.001214286
864.5,-0.003090909,0.178,1.178,0.648937302,-0.001857143
865,-0.003681818,0.08,1.08,0.585016386,-0.002714286
865.5,-0.004090909,-0.135,0.865,0.224334593,-0.003285714
866,-0.0045,-0.214,0.786,0.088796169,-0.003928571
866.5,-0.004772727,-0.06,0.94,-0.018572257,-0.004357143
867,-0.004909091,-0.188,0.812,-0.500648771,-0.004785714
867.5,-0.004954545,-0.028,0.972,-0.456717104,-0.005071429
868,-0.004954545,0.081,1.081,-0.515917504,-0.005357143
868.5,-0.004818182,0.007,1.007,-0.404292291,-0.005428571
869,-0.0045,-0.026,0.974,-0.222618659,-0.005285714
869.5,-0.004136364,-0.139,0.861,-0.003481413,-0.005071429
870,-0.003636364,-0.028,0.972,0.496141748,-0.004785714
870.5,-0.003136364,0.007,1.007,0.469595953,-0.0045
871,-0.0025,-0.078,0.922,0.396186023,-0.003928571
871.5,-0.001863636,-0.14,0.86,0.206254038,-0.003357143
872,-0.001090909,-0.216,0.784,0.031925227,-0.002571429
872.5,-0.000454545,-0.346,0.654,-0.194110968,-0.002
873,0.000318182,-0.45,0.55,-0.535122482,-0.001214286
873.5,0.001045455,-0.501,0.499,-0.863687164,-0.0005
874,0.001818182,-0.362,0.638,-0.754572169,0.000428571
874.5,0.002409091,-0.271,0.729,-0.726075996,0.001071429
875,0.003,-0.162,0.838,-0.492348998,0.001928571
875.5,0.003454545,-0.12,0.88,-0.246699218,0.002571429
876,0.003909091,-0.056,0.944,-0.110374042,0.003285714
876.5,0.004227273,-0.015,0.985,0.092966142,0.003785714
877,0.0045,0.116,1.116,0.172625846,0.004285714
877.5,0.004636364,0.14,1.14,0.183560084,0.004571429
878,0.004681818,0.262,1.262,0.261479981,0.004857143
878.5,0.004590909,0.218,1.218,0.148908644,0.004928571
879,0.004363636,0.116,1.116,0.105151381,0.004928571
879.5,0.004090909,0.059,1.059,0.035003472,0.004857143
880,0.003681818,0.109,1.109,0.110070792,0.004642857
880.5,0.003272727,0.124,1.124,0.103677687,0.004428571
881,0.002772727,0.318,1.318,0.123590022,0.004
881.5,0.002272727,0.243,1.243,0.071121515,0.003571429
882,0.001590909,0.256,1.256,0.286543263,0.002928571
882.5,0.000954545,0.237,1.237,0.184837413,0.002357143
883,0.000272727,0.135,1.135,0.463089756,0.001642857
883.5,-0.000318182,0.057,1.057,0.232651929,0.001071429
884,-0.001,0.127,1.127,0.209951577,0.000214286
884.5,-0.001545455,0.136,1.136,0.295163569,-0.000428571
885,-0.002090909,0.341,1.341,0.154962256,-0.001142857
885.5,-0.0025,0.346,1.346,0.029105603,-0.001642857
886,-0.002909091,0.326,1.326,0.109013772,-0.002285714
886.5,-0.003227273,0.183,1.183,-0.162210048,-0.002785714
887,-0.0035,0.23,1.23,0.224923073,-0.003285714
887.5,-0.003590909,0.212,1.212,0.427696909,-0.0035
888,-0.003636364,0.049,1.049,0.325376618,-0.003714286
888.5,-0.003636364,-0.061,0.939,0.537944044,-0.003857143
889,-0.003545455,-0.123,0.877,0.504184533,-0.003928571
889.5,-0.003363636,-0.179,0.821,0.344049992,-0.003857143
890,-0.003045455,-0.142,0.858,0.158007016,-0.003714286
890.5,-0.002727273,-0.297,0.703,-0.476587516,-0.003571429
891,-0.002363636,-0.369,0.631,-0.707715577,-0.003285714
891.5,-0.002,-0.424,0.576,-0.684812545,-0.003
892,-0.001545455,-0.443,0.557,-0.672940139,-0.0025
892.5,-0.001136364,-0.355,0.645,-0.602678342,-0.002071429
893,-0.000636364,-0.278,0.722,-0.486761751,-0.001571429
893.5,-0.000181818,-0.168,0.832,-0.417619123,-0.001142857
894,0.000272727,0.013,1.013,-0.062004229,-0.000571429
894.5,0.000636364,0.103,1.103,0.138562965,-0.000142857
895,0.001,0.187,1.187,0.187786606,0.000428571
895.5,0.001227273,0.084,1.084,0.117329925,0.000785714
896,0.0015,0.017,1.017,0.010493193,0.001142857
896.5,0.001727273,-0.048,0.952,0.03543778,0.001428571
897,0.001909091,0.12,1.12,0.274261909,0.001714286
897.5,0.002,0.039,1.039,0.154708319,0.001857143
898,0.002045455,-0.037,0.963,-0.017930435,0.002071429
898.5,0.002,-0.059,0.941,-0.125735245,0.002142857
899,0.001909091,-0.048,0.952,0.03396464,0.002142857
899.5,0.001818182,0.023,1.023,-0.021746221,0.002142857
900,0.001681818,-0.08,0.92,-0.082444458,0.002071429
900.5,0.001545455,-0.202,0.798,-0.198155874,0.002
901,0.001409091,-0.115,0.885,-0.09036897,0.001857143
901.5,0.001227273,-0.122,0.878,0.0204966,0.001642857
902,0.001,0.203,1.203,-0.013836535,0.001357143
902.5,0.000818182,0.075,1.075,-0.231651902,0.001142857
903,0.000636364,-0.112,0.888,-0.087303762,0.000928571
903.5,0.0005,-0.148,0.852,-0.151207556,0.000785714
904,0.000363636,-0.116,0.884,0.286057048,0.000571429
904.5,0.000272727,-0.101,0.899,0.226623335,0.000428571
905,0.000181818,-0.074,0.926,-0.234191247,0.000285714
905.5,0.000136364,0.058,1.058,-0.188838596,0.000214286
906,0.000136364,0.167,1.167,-0.061920946,0.000142857
906.5,0.000136364,0.186,1.186,-0.067771952,7.14286E-05
907,9.09E-05,0.258,1.258,0.095733772,0
907.5,9.09E-05,-0.003,0.997,-0.242605674,0
908,0.000136364,-0.081,0.919,-0.085682407,7.14286E-05
908.5,0.000181818,0.232,1.232,0.380375853,0.000142857
909,0.000181818,0.145,1.145,0.486761933,0.000142857
909.5,0.000181818,0.118,1.118,0.463348399,0.000142857
910,0.000181818,0.046,1.046,0.257261553,0.000214286
910.5,0.000181818,0.044,1.044,0.247607051,0.000285714
911,0.000136364,0.044,1.044,-0.051865977,0.000285714
911.5,4.55E-05,0.012,1.012,-0.139260256,0.000214286
912,-9.09E-05,0.077,1.077,-0.287183601,0.000142857
912.5,-0.000181818,0.047,1.047,-0.240719512,0.000142857
913,-0.000272727,0.061,1.061,-0.16834933,7.14286E-05
913.5,-0.000409091,0.196,1.196,0.0605731,-7.14286E-05
914,-0.000636364,0.098,1.098,0.136366933,-0.000285714
914.5,-0.000818182,0.29,1.29,0.333212343,-0.000428571
915,-0.001045455,0.328,1.328,0.372820601,-0.000571429
915.5,-0.001272727,0.405,1.405,0.493517072,-0.000714286
916,-0.0015,0.302,1.302,0.331538692,-0.001
916.5,-0.001681818,0.195,1.195,0.334571365,-0.001214286
917,-0.001863636,0.148,1.148,0.357400228,-0.0015
917.5,-0.002,0.018,1.018,0.227254939,-0.001714286
918,-0.002136364,-0.047,0.953,0.160637789,-0.001928571
918.5,-0.002272727,-0.108,0.892,0.043228678,-0.002142857
919,-0.002363636,-0.113,0.887,-0.015302946,-0.002357143
919.5,-0.002363636,-0.172,0.828,0.011133387,-0.002428571
920,-0.002318182,-0.133,0.867,-0.196991521,-0.0025
920.5,-0.002227273,-0.276,0.724,-0.31170418,-0.0025
921,-0.002,-0.267,0.733,-0.319842325,-0.002428571
921.5,-0.001772727,-0.285,0.715,-0.414223388,-0.002357143
922,-0.001454545,-0.189,0.811,-0.180862504,-0.002214286
922.5,-0.001136364,-0.176,0.824,-0.308969384,-0.002071429
923,-0.000727273,-0.233,0.767,-0.220794276,-0.001714286
923.5,-0.000318182,-0.14,0.86,-0.213329065,-0.001357143
924,0.000227273,-0.109,0.891,-0.084382567,-0.000857143
924.5,0.000727273,-0.08,0.92,-0.114716244,-0.000428571
925,0.001318182,0.036,1.036,-0.084150613,0.000142857
925.5,0.001863636,-0.133,0.867,-0.209024167,0.000642857
926,0.002409091,-0.092,0.908,-0.049768837,0.001357143
926.5,0.002818182,-0.078,0.922,-0.025327233,0.001857143
927,0.003272727,-0.105,0.895,0.090365714,0.0025
927.5,0.003636364,0.048,1.048,-0.093112506,0.003
928,0.004,0.1,1.1,-0.177254388,0.0035
928.5,0.004272727,0.083,1.083,0.021756697,0.003857143
929,0.004409091,0.052,1.052,-0.157553102,0.004285714
929.5,0.004409091,0.056,1.056,0.16315448,0.0045
930,0.004363636,-0.208,0.792,0.167039306,0.004714286
930.5,0.004227273,-0.29,0.71,-0.010715908,0.004785714
931,0.003909091,-0.308,0.692,0.08156976,0.004642857
931.5,0.003590909,-0.29,0.71,0.183437532,0.0045
932,0.003090909,-0.292,0.708,-0.228901877,0.004285714
932.5,0.002545455,-0.153,0.847,-0.199744274,0.004
933,0.001909091,-0.275,0.725,-0.652990995,0.003428571
933.5,0.001272727,-0.238,0.762,-0.790061415,0.002857143
934,0.000409091,-0.048,0.952,-0.567326329,0.002
934.5,-0.000318182,0.079,1.079,-0.47990625,0.001357143
935,-0.001136364,0.151,1.151,-0.356563495,0.000571429
935.5,-0.001909091,0.39,1.39,0.120230493,-0.000142857
936,-0.002727273,0.482,1.482,0.369509166,-0.001214286
936.5,-0.003363636,0.58,1.58,0.69041199,-0.002
937,-0.004045455,0.612,1.612,0.877358731,-0.002928571
937.5,-0.004545455,0.535,1.535,0.843111039,-0.003571429
938,-0.005045455,0.52,1.52,0.798788246,-0.004285714
938.5,-0.005454545,0.411,1.411,0.690489403,-0.004857143
939,-0.005772727,0.269,1.269,0.545639312,-0.0055
939.5,-0.005863636,0.106,1.106,0.348397258,-0.005785714
940,-0.005863636,-0.112,0.888,0.211850593,-0.006071429
940.5,-0.005772727,-0.176,0.824,0.051755141,-0.006214286
941,-0.0055,-0.181,0.819,-0.069433247,-0.006214286
941.5,-0.005181818,-0.325,0.675,-0.221488029,-0.006142857
942,-0.004681818,-0.366,0.634,-0.396904404,-0.005928571
942.5,-0.004136364,-0.399,0.601,-0.361523829,-0.005642857
943,-0.003363636,-0.391,0.609,-0.282674608,-0.005071429
943.5,-0.002590909,-0.367,0.633,-0.528935974,-0.0045
944,-0.001681818,-0.314,0.686,-0.530598583,-0.003642857
944.5,-0.000863636,-0.316,0.684,-0.505005117,-0.002928571
945,0.000136364,-0.172,0.828,-0.431893688,-0.001857143
945.5,0.001045455,-0.147,0.853,-0.189161958,-0.000928571
946,0.002090909,-0.099,0.901,-0.165285799,0.000214286
946.5,0.002954545,-0.126,0.874,-0.28177761,0.001071429
947,0.003863636,-0.004,0.996,0.019608865,0.002214286
947.5,0.004590909,-0.007,0.993,-0.053159486,0.003071429
948,0.005318182,-0.005,0.995,0.110803602,0.004142857
948.5,0.005818182,0.021,1.021,0.132562642,0.004857143
949,0.006272727,0.008,1.008,0.041244187,0.005642857
949.5,0.006590909,-0.121,0.879,-0.048419016,0.006214286
950,0.006818182,-0.167,0.833,-0.016252407,0.006785714
950.5,0.006863636,-0.281,0.719,-0.129274602,0.007071429
951,0.006727273,-0.267,0.733,0.055459673,0.007285714
951.5,0.006454545,-0.364,0.636,-0.200989912,0.007285714
952,0.006045455,-0.36,0.64,-0.34549411,0.007142857
952.5,0.005590909,-0.36,0.64,-0.415503284,0.006928571
953,0.004909091,-0.338,0.662,-0.460311445,0.006428571
