kyBP,Prec_5KYR_AVG_DIFF,Humidity_5kyr_AVG_DIFF,Humidity_5kyr_AVG_DIFF_1,Humidity_3kyr_AVG_DIFF,Prec_3KYR_AVG_DIFF
56,0.000636364,-0.075,0.925,-0.05234345,0.001214286
56.5,0.000363636,-0.037,0.963,-0.023527799,0.001
57,4.55E-05,0.016,1.016,-0.018940104,0.000642857
57.5,-0.000181818,-0.03,0.97,-0.085658307,0.000428571
58,-0.0005,-0.054,0.946,-0.059182172,0.000142857
58.5,-0.000818182,-0.079,0.921,-0.014938813,-0.000142857
59,-0.001136364,-0.151,0.849,0.015156304,-0.0005
59.5,-0.001409091,-0.156,0.844,-0.044339038,-0.000785714
60,-0.001727273,-0.114,0.886,-0.078825603,-0.001214286
60.5,-0.001954545,-0.064,0.936,-0.101549982,-0.0015
61,-0.002136364,-0.091,0.909,-0.179853118,-0.001785714
61.5,-0.002272727,-0.101,0.899,-0.179199082,-0.002
62,-0.002454545,-0.098,0.902,-0.144377512,-0.002285714
62.5,-0.002590909,-0.187,0.813,-0.145504805,-0.0025
63,-0.002681818,-0.232,0.768,-0.181485103,-0.002642857
63.5,-0.002681818,-0.157,0.843,-0.132901795,-0.002642857
64,-0.002590909,-0.104,0.896,-0.044876324,-0.002714286
64.5,-0.0025,-0.022,0.978,-0.04166054,-0.002785714
65,-0.002363636,-0.071,0.929,-0.164053609,-0.002785714
65.5,-0.002181818,-0.092,0.908,-0.145906571,-0.002714286
66,-0.001909091,-0.15,0.85,-0.164064937,-0.0025
66.5,-0.001681818,-0.188,0.812,-0.070934106,-0.002357143
67,-0.001363636,-0.16,0.84,-0.132425243,-0.002142857
67.5,-0.001,-0.152,0.848,-0.135258706,-0.001857143
68,-0.000590909,-0.044,0.956,-0.088198832,-0.001428571
68.5,-0.000227273,0.046,1.046,-0.112003428,-0.001071429
69,0.000227273,0.029,1.029,-0.137447024,-0.000571429
69.5,0.000590909,0.013,1.013,-0.119725195,-0.000214286
70,0.001045455,0.047,1.047,-0.07678651,0.000214286
70.5,0.001454545,0.155,1.155,0.020908668,0.000571429
71,0.001863636,0.173,1.173,0.044456849,0.001071429
71.5,0.002181818,0.243,1.243,0.092801376,0.001428571
72,0.002545455,0.292,1.292,0.296936421,0.001928571
72.5,0.002818182,0.302,1.302,0.362366699,0.002285714
73,0.003045455,0.182,1.182,0.374470972,0.002642857
73.5,0.003227273,0.13,1.13,0.363834715,0.002928571
74,0.003363636,0.158,1.158,0.273917014,0.003285714
74.5,0.003409091,0.091,1.091,0.291485191,0.0035
75,0.003409091,0.098,1.098,0.145431128,0.003642857
75.5,0.003318182,0.006,1.006,0.054649513,0.003642857
76,0.003136364,-0.16,0.84,0.024647308,0.003571429
76.5,0.002954545,-0.254,0.746,-0.084040997,0.0035
77,0.002681818,-0.357,0.643,-0.135267549,0.003357143
77.5,0.002363636,-0.45,0.55,-0.152190239,0.003142857
78,0.001954545,-0.553,0.447,-0.363716709,0.002785714
78.5,0.001590909,-0.496,0.504,-0.311012918,0.0025
79,0.001136364,-0.478,0.522,-0.401903422,0.002071429
79.5,0.000727273,-0.447,0.553,-0.681550047,0.001714286
80,0.000181818,-0.352,0.648,-0.721293056,0.001214286
80.5,-0.000318182,-0.215,0.785,-0.78827941,0.000785714
81,-0.000863636,-0.086,0.914,-0.705330797,0.000214286
81.5,-0.001318182,0.101,1.101,-0.42620964,-0.000214286
82,-0.001863636,0.211,1.211,-0.237202326,-0.000857143
82.5,-0.002318182,0.286,1.286,0.087330159,-0.001357143
83,-0.002772727,0.433,1.433,0.421078026,-0.001928571
83.5,-0.003136364,0.594,1.594,0.664959284,-0.002357143
84,-0.0035,0.587,1.587,0.80092479,-0.002928571
84.5,-0.003772727,0.621,1.621,0.797407704,-0.003357143
85,-0.004,0.582,1.582,0.701359911,-0.003785714
85.5,-0.004090909,0.481,1.481,0.764499543,-0.004
86,-0.004136364,0.326,1.326,0.473354249,-0.004214286
86.5,-0.004136364,0.265,1.265,0.404390602,-0.004357143
87,-0.004045455,0.083,1.083,0.328831558,-0.004428571
87.5,-0.003863636,-0.031,0.969,0.186598287,-0.004357143
88,-0.003590909,-0.061,0.939,0.150966045,-0.004214286
88.5,-0.003318182,-0.135,0.865,0.156328947,-0.004071429
89,-0.002909091,-0.259,0.741,-0.137561854,-0.003785714
89.5,-0.0025,-0.252,0.748,-0.170362814,-0.0035
90,-0.001954545,-0.343,0.657,-0.274092088,-0.003071429
90.5,-0.001454545,-0.32,0.68,-0.424327293,-0.002714286
91,-0.000818182,-0.225,0.775,-0.398615558,-0.002142857
91.5,-0.000227273,-0.045,0.955,-0.434978909,-0.001642857
92,0.000454545,-0.007,0.993,-0.550573929,-0.000928571
92.5,0.001045455,0.138,1.138,-0.304420698,-0.000357143
93,0.001727273,0.129,1.129,-0.119323752,0.000428571
93.5,0.002318182,0.155,1.155,0.176485503,0.001071429
94,0.002954545,0.062,1.062,0.356356402,0.001857143
94.5,0.003454545,0.038,1.038,0.485737537,0.002428571
95,0.003954545,0.144,1.144,0.427582702,0.003142857
95.5,0.004318182,0.164,1.164,0.508935307,0.003642857
96,0.004681818,0.082,1.082,0.175902447,0.004214286
96.5,0.004909091,-0.024,0.976,0.015232606,0.004571429
97,0.005,-0.219,0.781,-0.138198786,0.004928571
97.5,0.005,-0.29,0.71,-0.281700159,0.005142857
98,0.004954545,-0.342,0.658,-0.391291889,0.005357143
98.5,0.004818182,-0.219,0.781,-0.359393416,0.005428571
99,0.004545455,-0.258,0.742,-0.411207734,0.005285714
99.5,0.004227273,-0.251,0.749,-0.197052274,0.005071429
100,0.003727273,-0.343,0.657,-0.111722944,0.004785714
